date,day_of_week,carrier,fl_num,dest,sch_dep,sch_arr,arr_delay
2019-04-20,6,OH,5593,PHL,13.816666666666666,17.066666666666666,-20.0
2019-04-27,6,OH,5593,PHL,13.816666666666666,17.066666666666666,35.0
2019-04-13,6,OH,5624,CLT,7.216666666666667,10.583333333333334,100.0
2019-04-20,6,OH,5624,CLT,7.216666666666667,10.583333333333334,0.0
2019-04-27,6,OH,5624,CLT,7.216666666666667,10.583333333333334,-8.0
2019-04-06,6,DL,1328,ATL,11.083333333333334,14.233333333333333,-17.0
2019-04-06,6,DL,1349,ATL,6.0,9.083333333333334,1.0
2019-04-06,6,DL,1350,ATL,17.233333333333334,20.35,-16.0
2019-04-06,6,DL,1652,MSP,7.0,8.25,-5.0
2019-04-06,6,DL,1714,DTW,9.0,11.183333333333334,-7.0
2019-04-27,6,DL,1328,ATL,11.083333333333334,14.233333333333333,-6.0
2019-04-27,6,DL,1349,ATL,6.0,9.083333333333334,-19.0
2019-04-27,6,DL,1350,ATL,17.233333333333334,20.35,-3.0
2019-04-27,6,DL,1652,MSP,7.0,8.25,-7.0
2019-04-27,6,DL,1714,DTW,9.0,11.183333333333334,-7.0
2019-04-27,6,UA,2211,ORD,6.0,7.033333333333333,-23.0
2019-04-27,6,UA,583,DEN,15.0,16.483333333333334,2.0
2019-04-27,6,UA,264,DEN,7.083333333333333,8.55,-13.0
2019-04-13,6,UA,2211,ORD,6.0,7.033333333333333,-15.0
2019-04-13,6,UA,1531,ORD,16.15,17.133333333333333,-8.0
2019-04-13,6,UA,583,DEN,15.0,16.483333333333334,-9.0
2019-04-13,6,UA,264,DEN,7.083333333333333,8.55,-7.0
2019-04-20,6,YX,5931,LGA,7.5,10.766666666666667,5.0
2019-04-27,6,YX,5931,LGA,7.5,10.766666666666667,20.0
2019-04-07,7,MQ,3929,ORD,15.05,16.0,-12.0
2019-04-21,7,MQ,3929,ORD,15.05,16.0,-20.0
2019-04-28,7,MQ,3929,ORD,15.05,16.0,-17.0
2019-04-07,7,MQ,4002,ORD,18.7,19.666666666666668,41.0
2019-04-21,7,MQ,4002,ORD,18.7,19.666666666666668,-16.0
2019-04-28,7,MQ,4002,ORD,18.7,19.666666666666668,4.0
2019-04-07,7,MQ,4032,ORD,13.2,14.183333333333334,-7.0
2019-04-21,7,MQ,4032,ORD,13.2,14.183333333333334,-13.0
2019-04-28,7,MQ,4032,ORD,13.2,14.183333333333334,-9.0
2019-04-07,7,MQ,3582,DFW,6.95,9.483333333333333,3.0
2019-04-14,7,MQ,3582,DFW,6.95,9.483333333333333,-20.0
2019-04-21,7,MQ,3582,DFW,6.95,9.483333333333333,-23.0
2019-04-28,7,MQ,3582,DFW,6.95,9.483333333333333,-2.0
2019-04-07,7,MQ,3597,ORD,9.983333333333333,10.9,-13.0
2019-04-28,7,MQ,3597,ORD,9.983333333333333,10.9,-11.0
2019-04-07,7,YV,5789,PHX,7.083333333333333,8.916666666666666,-2.0
2019-04-14,7,YV,5789,PHX,7.083333333333333,8.916666666666666,-25.0
2019-04-21,7,YV,5789,PHX,7.083333333333333,8.916666666666666,-25.0
2019-04-28,7,YV,5789,PHX,7.083333333333333,8.916666666666666,-4.0
2019-04-07,7,YV,5851,DFW,13.366666666666667,15.816666666666666,62.0
2019-04-14,7,YV,5851,DFW,13.366666666666667,15.816666666666666,-27.0
2019-04-21,7,YV,5851,DFW,13.366666666666667,15.816666666666666,-15.0
2019-04-28,7,YV,5851,DFW,13.366666666666667,15.816666666666666,1.0
2019-04-07,7,OH,5690,CLT,16.133333333333333,19.416666666666668,-10.0
2019-04-14,7,OH,5690,CLT,16.133333333333333,19.416666666666668,77.0
2019-04-21,7,OH,5690,CLT,16.133333333333333,19.416666666666668,-25.0
2019-04-28,7,OH,5690,CLT,16.133333333333333,19.416666666666668,7.0
2019-04-07,7,YX,5964,DCA,17.25,20.166666666666668,-24.0
2019-04-07,7,YX,6013,LGA,12.2,15.5,-10.0
2019-04-07,7,YX,6016,LGA,18.15,21.483333333333334,-14.0
2019-04-14,7,YX,5964,DCA,17.25,20.166666666666668,-12.0
2019-04-14,7,YX,6013,LGA,12.2,15.5,94.0
2019-04-14,7,YX,6016,LGA,18.15,21.483333333333334,115.0
2019-04-21,7,DL,436,DTW,17.15,19.416666666666668,-14.0
2019-04-21,7,DL,1328,ATL,11.1,14.283333333333333,-32.0
2019-04-21,7,DL,1349,ATL,6.0,9.166666666666666,-13.0
2019-04-21,7,DL,1350,ATL,17.25,20.5,52.0
2019-04-21,7,DL,1389,DTW,13.216666666666667,15.516666666666667,-16.0
2019-04-21,7,DL,1547,MSP,15.7,17.033333333333335,-23.0
2019-04-21,7,DL,1652,MSP,6.916666666666667,8.2,-22.0
2019-04-21,7,DL,1714,DTW,9.0,11.2,-10.0
2019-04-14,7,DL,436,DTW,17.15,19.416666666666668,4.0
2019-04-14,7,DL,1328,ATL,11.1,14.283333333333333,18.0
2019-04-14,7,DL,1349,ATL,6.0,9.166666666666666,63.0
2019-04-14,7,DL,1350,ATL,17.25,20.5,44.0
2019-04-14,7,DL,1389,DTW,13.216666666666667,15.516666666666667,-5.0
2019-04-14,7,DL,1547,MSP,15.7,17.033333333333335,-29.0
2019-04-14,7,DL,1652,MSP,6.916666666666667,8.2,-16.0
2019-04-14,7,DL,1714,DTW,9.0,11.2,3.0
2019-04-07,7,F9,2055,LAS,13.616666666666667,15.5,-41.0
2019-04-07,7,F9,1130,MCO,9.966666666666667,13.883333333333333,-10.0
2019-04-07,7,F9,161,DEN,19.416666666666668,20.966666666666665,-9.0
2019-04-14,7,F9,1130,MCO,9.966666666666667,13.883333333333333,-1.0
2019-04-14,7,F9,2055,LAS,13.616666666666667,15.5,-32.0
2019-04-14,7,F9,161,DEN,19.416666666666668,20.966666666666665,-17.0
2019-04-21,7,F9,2055,LAS,13.616666666666667,15.5,-38.0
2019-04-21,7,F9,1130,MCO,9.966666666666667,13.883333333333333,-17.0
2019-04-21,7,F9,161,DEN,19.416666666666668,20.966666666666665,38.0
2019-04-28,7,F9,2055,LAS,13.616666666666667,15.5,-16.0
2019-04-28,7,F9,1130,MCO,9.966666666666667,13.883333333333333,-33.0
2019-04-28,7,F9,161,DEN,19.416666666666668,20.966666666666665,-12.0
2019-04-21,7,UA,2211,ORD,6.0,7.033333333333333,-31.0
2019-04-21,7,UA,583,DEN,15.0,16.483333333333334,17.0
2019-04-21,7,UA,264,DEN,7.083333333333333,8.566666666666666,-29.0
2019-04-07,7,UA,583,DEN,15.0,16.483333333333334,-18.0
2019-04-07,7,UA,264,DEN,7.083333333333333,8.566666666666666,-21.0
2019-04-07,7,UA,2211,ORD,6.0,7.033333333333333,-19.0
2019-04-07,7,OO,3592,MSP,11.933333333333334,13.1,-3.0
2019-04-07,7,OO,3595,SLC,18.916666666666668,21.166666666666668,-17.0
2019-04-07,7,OO,3709,DTW,19.383333333333333,21.666666666666668,274.0
2019-04-07,7,OO,3716,MSP,18.5,19.75,6.0
2019-04-07,7,OO,4486,MSP,17.5,18.766666666666666,-10.0
2019-04-07,7,OO,5468,DEN,19.416666666666668,21.016666666666666,24.0
2019-04-21,7,OO,3592,MSP,11.933333333333334,13.1,-11.0
2019-04-21,7,OO,3595,SLC,18.916666666666668,21.166666666666668,89.0
2019-04-21,7,OO,3709,DTW,19.383333333333333,21.666666666666668,-21.0
2019-04-21,7,OO,3716,MSP,18.5,19.75,7.0
2019-04-14,7,OO,3592,MSP,11.933333333333334,13.1,-2.0
2019-04-14,7,OO,3595,SLC,18.916666666666668,21.166666666666668,-17.0
2019-04-14,7,OO,3709,DTW,19.383333333333333,21.666666666666668,-1.0
